0.047913,-0.142421,0.019999,0.00293757,0.00712182,-0.380803,0.924624,
0.430994,-0.791461,0.0199987,0.00461995,0.00616357,-0.599226,0.800543,
0.87546,-1.60969,0.0199987,0.00200564,0.00743684,-0.259801,0.965631,
1.54589,-1.43049,0.0199986,-0.00440883,0.00631555,0.572926,0.819571,
1.58138,-0.539195,0.0199988,-0.00564029,0.00524658,0.732578,0.680639,
1.58927,0.37732,0.0199989,-0.00532718,0.00556435,0.691909,0.721944,
1.62633,1.45217,0.019999,-0.00475434,0.00606174,0.617678,0.786393,
2.32011,1.77046,0.0199988,0.00200295,0.00743828,-0.259599,0.965686,
2.60365,1.07058,0.0199994,0.00541257,0.0054833,-0.701911,0.712223,
2.64757,0.103351,0.0199988,0.0053376,0.00555383,-0.692482,0.721394,
2.71523,-1.01069,0.0199987,0.00534143,0.00554968,-0.69288,0.721012,
3.18635,-1.87616,0.0199987,0.000410911,0.00769165,-0.0527612,0.998577,
3.90228,-1.32083,0.0199989,-0.00345474,0.0068849,0.448932,0.893532,
4.06708,-0.600792,0.0199988,-0.00564659,0.00523929,0.733511,0.679634,
4.12005,-0.00155414,0.0199991,-0.00393951,0.00662073,0.0601331,0.998161,
